"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","ab","NONE","AZT",0,0.686052009456276,-0.17621881189949,1.54832283081204,0.188,"ns"
"2","ab","NONE","ERY",0,0.643055555555556,-0.21481065251592,1.50092176362703,0.241,"ns"
"3","ab","NONE","SFX",0,1.35555555555556,0.483962616561562,2.22714849454955,0.00027,"***"
"4","ab","NONE","ALL",0,0.431746031746032,-0.455274528649866,1.31876659214193,0.667,"ns"
"5","ab","AZT","ERY",0,-0.0429964539007202,-0.891389728867165,0.805396821065725,1,"ns"
"6","ab","AZT","SFX",0,0.66950354609928,-0.192767275256485,1.53177436745505,0.209,"ns"
"7","ab","AZT","ALL",0,-0.254305977710244,-1.13216826339201,0.62355630797152,0.931,"ns"
"8","ab","ERY","SFX",0,0.7125,-0.145366208071475,1.57036620807148,0.154,"ns"
"9","ab","ERY","ALL",0,-0.211309523809524,-1.08484581625065,0.662226768631607,0.964,"ns"
"10","ab","SFX","ALL",0,-0.923809523809524,-1.81083008420542,-0.0367889634136263,0.0366,"*"
